filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,label
splitted_11_repose_08.wav,0.5917811393737793,4.341689418652095e-05,5917.648841072834,3012.8941515961415,8955.437514361212,0.6888688503773219,-898.0413818359375,-26.254873275756836,13.913519859313965,-1.6403456926345825,1.3543065786361694,7.318691730499268,-3.7262325286865234,10.01169490814209,-2.6891584396362305,7.006021976470947,-0.30666282773017883,6.497358322143555,-0.8784891963005066,6.034560680389404,-0.3614982068538666,5.124146461486816,0.41185513138771057,4.778193950653076,1.2556606531143188,3.663921594619751,Repose
splitted_12_repose_01.wav,0.618911862373352,5.740288906963542e-05,5953.782998844121,3103.952003494925,9079.178432783476,0.6912486545810759,-917.9935302734375,-24.711299896240234,16.172056198120117,-3.853515148162842,4.411006450653076,6.150707721710205,-2.943690538406372,9.500041007995605,-2.9840087890625,7.650156497955322,-0.7310627102851868,5.771268367767334,0.28558769822120667,5.4871931076049805,0.19588324427604675,5.116880893707275,0.8396905064582825,4.731175899505615,1.5106604099273682,4.094640254974365,Repose
splitted_12_repose_02.wav,0.7651733756065369,2.188309736084193e-05,5544.774855655576,2983.7545418143277,8719.651699461878,0.5902509887188797,-915.2236938476562,-25.4381046295166,11.40121841430664,4.468138694763184,-3.659334421157837,12.415862083435059,-7.659887313842773,10.622495651245117,-2.2551581859588623,4.484560489654541,2.859837055206299,3.065746307373047,1.8016608953475952,5.567234992980957,0.02591819316148758,4.893938064575195,2.078644037246704,2.5371179580688477,2.544886350631714,2.612027645111084,Repose
splitted_12_repose_03.wav,0.6226081252098083,2.1619725885102525e-05,5952.892688789424,3148.622822855412,9124.336493052197,0.6921639929614938,-925.84619140625,-22.459688186645508,17.506446838378906,-4.454204559326172,5.479823112487793,5.783661365509033,-2.5889039039611816,9.483390808105469,-2.9704463481903076,7.5382561683654785,-0.5586947798728943,5.741975784301758,0.5502630472183228,5.288273334503174,0.28054043650627136,5.067659854888916,1.0340309143066406,4.457280158996582,1.5317916870117188,4.082620620727539,Repose
splitted_12_repose_04.wav,0.6221134662628174,2.1763664335594513e-05,5952.017267605805,3146.7436853123418,9122.403171409394,0.6920661099554953,-925.4761962890625,-22.536849975585938,17.44266128540039,-4.447474002838135,5.4928717613220215,5.868551254272461,-2.5973260402679443,9.48424243927002,-2.9638516902923584,7.62837553024292,-0.5737801790237427,5.693297386169434,0.48062095046043396,5.312674522399902,0.322395384311676,5.032089710235596,1.05073881149292,4.464907646179199,1.50954270362854,4.082859516143799,Repose
splitted_12_repose_05.wav,0.6228256821632385,2.1566453142440878e-05,5952.471240668248,3150.7808320806307,9125.894816962558,0.6921175079818112,-926.0259399414062,-22.324382781982422,17.565654754638672,-4.498513221740723,5.538419723510742,5.788294315338135,-2.5607941150665283,9.481228828430176,-2.9539341926574707,7.566680431365967,-0.5559142231941223,5.727130889892578,0.5427919030189514,5.259631156921387,0.31726837158203125,5.078662395477295,1.0520893335342407,4.435931205749512,1.4997708797454834,4.071679592132568,Repose
splitted_12_repose_06.wav,0.6042283773422241,0.00021398252283688635,5769.400719083052,3082.392258595016,8901.554506851055,0.6762196449303406,-851.4485473632812,-4.814195156097412,1.467073678970337,-3.8203518390655518,-0.9142526984214783,2.1765737533569336,-2.0499632358551025,4.411569118499756,-0.8234175443649292,6.247826099395752,0.5763863325119019,4.001460075378418,-0.9518101811408997,3.567066192626953,0.7989082336425781,3.739464044570923,0.8661400675773621,3.646914482116699,2.201624631881714,3.294940710067749,Repose
splitted_12_repose_07.wav,0.6029893159866333,0.0008564986055716872,5751.517134110241,3056.8190310794016,8870.963025166893,0.6727612380272833,-748.4005126953125,-0.8661755323410034,-5.2955121994018555,-1.217553734779358,-3.449185609817505,0.6549955010414124,-1.3086063861846924,0.9330888390541077,0.5958408713340759,2.9368557929992676,1.7615340948104858,0.9422941207885742,-1.1542255878448486,1.0805690288543701,0.7988476753234863,1.7430877685546875,0.635714054107666,2.1475799083709717,1.3278179168701172,2.119105577468872,Repose
splitted_12_repose_08.wav,0.622444212436676,3.849182394333184e-05,5955.853683391044,3145.3662479214495,9123.728163397349,0.6918620295568886,-923.9669189453125,-22.63588523864746,17.545907974243164,-4.46726655960083,5.459617614746094,5.8649983406066895,-2.5889012813568115,9.5687837600708,-2.9237916469573975,7.610183238983154,-0.5324310660362244,5.7809319496154785,0.5502550601959229,5.346547603607178,0.3031754195690155,5.117425441741943,1.0140775442123413,4.469436168670654,1.485714316368103,4.058239459991455,Repose
splitted_13_repose_01.wav,0.6179189085960388,5.017544390284456e-05,5960.5403294621,3098.843001811358,9082.961743239648,0.6918242368904799,-913.9324951171875,-25.116455078125,15.457612037658691,-4.647075653076172,3.9146687984466553,6.047275066375732,-3.677694320678711,9.265890121459961,-3.1262826919555664,7.647439002990723,-0.8372037410736084,5.860694408416748,0.09466826915740967,5.793899059295654,0.3473242223262787,5.40626859664917,0.7332148551940918,4.665816307067871,1.3929814100265503,4.338069915771484,Repose
splitted_13_repose_03.wav,0.6237886548042297,2.3372402210952714e-05,5949.995027993464,3149.979876853475,9121.228178514415,0.6922384445143189,-924.8020629882812,-22.230239868164062,17.120235443115234,-4.808947563171387,5.372928619384766,5.5652923583984375,-2.9509329795837402,9.216246604919434,-2.8719425201416016,7.55024528503418,-0.5610558986663818,5.908010959625244,0.5053575038909912,5.438204288482666,0.4650290906429291,5.099691390991211,0.9787352681159973,4.466181755065918,1.7197459936141968,4.211095333099365,Repose
splitted_13_repose_04.wav,0.6210049390792847,2.2617849026573822e-05,5957.569756723094,3133.4186935352723,9116.936537798712,0.6927350401509288,-923.982177734375,-23.335580825805664,17.10679054260254,-4.466947555541992,4.997710227966309,5.804914474487305,-2.9017765522003174,9.30242919921875,-2.768946886062622,7.608517646789551,-0.5892561674118042,5.893224239349365,0.43057024478912354,5.461696147918701,0.4954809844493866,5.036254405975342,0.8082380294799805,4.40361213684082,1.6698870658874512,4.263679504394531,Repose
